Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Age,Join_Date,Tenure_Years,Department,Job_Title,Manager_Name,Location,Country,Salary,Bonus,Total_Compensation,Performance_Rating,Employment_Status,Active_Status
1070,Ivy,Khan,Male,17-06-1989,36,23-11-2011,13,HR,Coordinator,Priya,New York,UK,7961,3343,98875,3,Part-Time,Active
1071,Hank,Lee,Male,11-07-1985,39,22-02-2020,5,HR,Executive,Angela,London,Canada,4692,4341,60645,3,Contract,Active
1072,Eve,Johnson,Male,17-10-1974,50,31-03-2019,6,IT,Manager,Robert,Bangalore,India,9298,3719,115295,3,Part-Time,Active
1073,Bob,Williams,Male,28-09-1990,34,01-06-2016,9,IT,Coordinator,Robert,Toronto,India,6800,2450,84050,4,Contract,Active
1074,Eve,Khan,Male,28-06-1987,38,14-11-2019,5,Sales,Analyst,Tom,Bangalore,UK,6386,1997,78629,3,Part-Time,Active
1075,Hank,Wilson,Female,01-04-1978,47,22-11-2021,3,Marketing,Manager,John,New York,India,8659,4532,108440,2,Contract,Active
1076,Jack,Davis,Male,22-05-1979,46,30-07-2014,10,HR,Executive,Robert,London,India,6699,3990,84378,5,Part-Time,Active
1077,Ivy,Brown,Female,12-09-1987,37,19-01-2020,5,Sales,Coordinator,Tom,Toronto,UK,6881,4734,87306,3,Full-Time,Active
1078,Ivy,Johnson,Male,26-01-1984,41,28-01-2014,11,Sales,Executive,Tom,Toronto,India,9396,3107,115859,1,Contract,Active
1079,Alice,Lee,Male,28-05-1993,32,02-07-2018,6,Marketing,Executive,Tom,London,Canada,8618,3059,106475,2,Contract,Active
1080,Ivy,Lewis,Female,21-02-1987,38,29-04-2012,13,IT,Analyst,Priya,Toronto,Australia,4283,1597,52993,3,Full-Time,Active
1081,Grace,Clark,Male,22-05-1984,41,18-04-2014,11,Marketing,Analyst,John,Toronto,UK,4459,4037,57545,4,Part-Time,Active
1082,Ivy,Clark,Female,09-01-1982,43,18-04-2008,17,Sales,Analyst,Priya,London,Australia,7332,2652,90636,3,Part-Time,Active
1083,Hank,Williams,Male,31-08-1990,34,13-02-2007,18,Marketing,Manager,Angela,New York,Canada,6417,4129,81133,5,Part-Time,Active
1084,Alice,Lee,Female,18-01-1990,35,15-05-2013,12,IT,Manager,John,New York,India,5470,3837,69477,2,Part-Time,Active
1085,Hank,Johnson,Female,09-11-1996,28,03-05-2011,14,Sales,Analyst,Priya,Toronto,India,7920,2727,97767,5,Contract,Inactive
1086,Hank,Wilson,Male,15-11-1996,28,11-02-2012,13,Marketing,Manager,John,New York,India,9197,3377,113741,5,Part-Time,Active
1087,Charlie,Brown,Male,21-04-1984,41,04-11-2008,16,HR,Coordinator,Angela,New York,Australia,9000,4467,112467,4,Part-Time,Active
1088,Alice,Lewis,Male,27-12-1996,28,04-06-2016,9,HR,Executive,Priya,Toronto,USA,4509,3403,57511,3,Full-Time,Active
1089,Hank,Davis,Male,09-10-1991,33,25-02-2019,6,Marketing,Analyst,John,Toronto,Australia,9456,1475,114947,5,Full-Time,Inactive
1090,Charlie,Smith,Female,18-10-1996,28,20-05-2013,12,Marketing,Executive,Angela,New York,USA,7243,2878,89794,2,Contract,Active
1091,Charlie,Smith,Female,13-06-1975,50,08-02-2014,11,IT,Executive,Tom,Sydney,Australia,5375,3839,68339,3,Contract,Active
1092,Alice,Lewis,Female,22-01-2000,25,04-11-2008,16,Sales,Executive,John,London,Canada,8011,4527,100659,5,Full-Time,Inactive
1093,Eve,Johnson,Female,16-11-1993,31,03-02-2014,11,Marketing,Coordinator,Angela,New York,Australia,4773,1531,58807,1,Part-Time,Active
1094,Jack,Lewis,Female,17-02-1977,48,17-01-2023,2,Sales,Coordinator,Tom,New York,Australia,9007,4714,112798,1,Contract,Inactive
1095,Grace,Lee,Female,04-08-1976,48,17-03-2023,2,HR,Manager,Angela,Sydney,UK,6505,4782,82842,1,Full-Time,Active
1096,Jack,Smith,Female,05-03-1970,55,16-12-2020,4,Sales,Executive,Robert,Bangalore,India,7587,1534,92578,5,Full-Time,Active
1097,Ivy,Williams,Male,13-09-1977,47,20-05-2007,18,Finance,Manager,Angela,Bangalore,India,7135,3490,89110,4,Full-Time,Active
1098,Grace,Lee,Male,26-02-2000,25,22-08-2022,2,IT,Executive,Priya,London,India,9284,2378,113786,5,Contract,Active
1099,Ivy,Smith,Male,10-01-1981,44,31-10-2023,1,IT,Analyst,Priya,Toronto,USA,4102,4616,53840,2,Contract,Active
1100,Hank,Wilson,Male,12-04-1970,55,20-12-2007,17,Sales,Executive,Priya,New York,Canada,6201,3418,77830,1,Part-Time,Active
1101,Bob,Brown,Male,25-11-2000,24,30-12-2019,5,IT,Executive,Priya,Sydney,USA,6717,1045,81649,5,Contract,Active
1102,Alice,Clark,Male,06-05-2000,25,02-04-2022,3,Sales,Coordinator,Robert,Toronto,UK,8993,4106,112022,1,Full-Time,Active
1103,Grace,Lee,Male,02-08-1978,46,04-10-2022,2,Sales,Analyst,Robert,Toronto,UK,7949,1021,96409,2,Part-Time,Active
1104,Grace,Clark,Male,26-03-1973,52,01-09-2007,17,HR,Manager,Robert,Bangalore,Australia,7694,2057,94385,4,Part-Time,Active
1105,Hank,Clark,Female,31-01-1985,40,10-05-2008,17,Sales,Analyst,Tom,New York,UK,9718,2059,118675,4,Contract,Inactive
1106,Eve,Smith,Male,01-05-2000,25,08-12-2009,15,IT,Coordinator,John,London,UK,5016,3148,63340,4,Contract,Active
1107,Charlie,Lee,Male,14-08-1990,34,12-02-2021,4,Finance,Coordinator,Priya,Sydney,Canada,4659,1485,57393,1,Contract,Active
1108,Hank,Brown,Male,21-06-1977,48,25-06-2020,5,Marketing,Executive,John,New York,UK,8878,4225,110761,5,Contract,Inactive
1109,Frank,Wilson,Female,23-11-1990,34,12-02-2013,12,IT,Coordinator,Priya,Toronto,Australia,9043,4112,112628,3,Part-Time,Active
1110,Charlie,Khan,Male,20-10-1999,25,03-04-2008,17,Finance,Coordinator,Priya,Toronto,India,8763,4593,109749,2,Full-Time,Active
1111,Alice,Williams,Female,09-07-1993,31,04-02-2019,6,IT,Executive,Priya,London,USA,5983,1356,73152,1,Part-Time,Active
1112,Charlie,Clark,Female,09-02-1971,54,06-06-2014,11,Finance,Coordinator,Robert,Bangalore,USA,6370,2649,79089,2,Full-Time,Active
1113,Eve,Brown,Male,13-11-1977,47,10-10-2015,9,IT,Coordinator,Tom,London,USA,5154,1390,63238,1,Full-Time,Active
1114,Charlie,Davis,Female,13-12-1978,46,27-01-2017,8,Marketing,Manager,Priya,London,Australia,9304,3089,114737,4,Contract,Inactive
1115,Alice,Davis,Male,18-05-1977,48,25-07-2020,4,HR,Executive,Priya,New York,Canada,8150,4210,102010,2,Full-Time,Active
1116,Eve,Khan,Male,17-02-1998,27,18-10-2019,5,HR,Executive,Priya,Bangalore,Australia,8799,2488,108076,3,Part-Time,Inactive
1117,Jack,Khan,Male,03-10-1976,48,14-08-2008,16,Marketing,Manager,Angela,Toronto,USA,7107,1071,86355,4,Contract,Active
1118,Grace,Khan,Female,25-10-1981,43,14-02-2023,2,IT,Manager,Priya,Bangalore,Australia,6722,4654,85318,4,Part-Time,Active
1119,Grace,Williams,Male,06-04-1975,50,17-07-2010,14,Finance,Manager,Robert,New York,Australia,5405,2133,66993,3,Part-Time,Active
1120,Ivy,Williams,Male,03-11-1980,44,16-06-2023,2,Sales,Manager,Robert,New York,Australia,7159,2642,88550,3,Contract,Inactive
1121,Jack,Wilson,Male,23-09-1988,36,22-12-2019,5,IT,Executive,John,London,India,7543,1764,92280,4,Full-Time,Active
1122,Jack,Clark,Female,24-08-1996,28,15-12-2017,7,Marketing,Manager,Robert,New York,Australia,9538,3119,117575,3,Part-Time,Active
1123,Charlie,Johnson,Female,21-12-1998,26,15-01-2023,2,HR,Manager,John,Bangalore,Canada,4375,2760,55260,4,Full-Time,Active
1124,Grace,Davis,Female,11-04-1983,42,02-08-2019,5,HR,Coordinator,Tom,London,India,8504,3693,105741,5,Full-Time,Active
1125,Alice,Smith,Female,05-03-1999,26,10-05-2017,8,IT,Executive,Angela,London,Australia,8096,1045,98197,1,Part-Time,Active
1126,Diana,Smith,Male,15-11-1990,34,15-03-2006,19,Finance,Manager,Robert,London,UK,7848,2412,96588,5,Full-Time,Active
1127,Diana,Khan,Male,23-03-1979,46,14-06-2005,20,Marketing,Coordinator,Priya,Bangalore,USA,5148,2615,64391,1,Contract,Active
1128,Eve,Lewis,Female,08-08-2000,24,19-07-2020,4,Marketing,Executive,Tom,London,India,6679,3159,83307,1,Part-Time,Active
1129,Grace,Davis,Male,22-07-1991,33,21-12-2022,2,Finance,Manager,Priya,Sydney,UK,4540,4341,58821,5,Part-Time,Active
1130,Grace,Johnson,Female,11-11-1971,53,20-02-2014,11,Finance,Manager,John,Sydney,USA,8909,1033,107941,1,Full-Time,Inactive
1131,Diana,Johnson,Male,21-07-1990,34,05-03-2014,11,IT,Coordinator,John,Bangalore,Canada,9407,3999,116883,1,Part-Time,Active
1132,Grace,Smith,Male,18-01-1972,53,15-09-2007,17,IT,Analyst,Angela,Toronto,UK,4158,2593,52489,4,Full-Time,Active
1133,Charlie,Lewis,Female,29-03-2000,25,05-12-2011,13,HR,Executive,Tom,Toronto,Canada,6265,4889,80069,1,Full-Time,Active
1134,Frank,Johnson,Female,14-08-1973,51,18-08-2017,7,HR,Coordinator,John,London,Canada,7278,3017,90353,3,Part-Time,Active
1135,Bob,Davis,Male,15-09-1991,33,09-06-2016,9,Finance,Manager,Priya,Bangalore,UK,8982,3264,111048,1,Part-Time,Inactive
1136,Jack,Clark,Female,06-04-1980,45,16-07-2016,8,Sales,Analyst,Robert,London,UK,8764,4925,110093,2,Part-Time,Active
1137,Ivy,Brown,Male,19-01-1986,39,13-07-2015,9,Sales,Analyst,Robert,London,India,8254,4778,103826,4,Part-Time,Active
1138,Eve,Lewis,Male,11-02-1983,42,05-10-2020,4,Sales,Coordinator,Tom,Sydney,Canada,4911,3664,62596,4,Full-Time,Active
1139,Frank,Johnson,Male,18-06-1971,54,19-08-2008,16,Marketing,Coordinator,Tom,New York,UK,5278,2918,66254,1,Full-Time,Active
1140,Diana,Lewis,Male,24-12-1974,50,31-12-2013,11,IT,Coordinator,John,Bangalore,Canada,9751,4537,121549,2,Full-Time,Active
1141,Jack,Lewis,Female,30-05-1976,49,28-01-2005,20,Finance,Executive,Robert,New York,Australia,9991,2463,122355,2,Contract,Active
1142,Grace,Clark,Male,30-04-1988,37,18-07-2010,14,HR,Analyst,Angela,Sydney,Australia,7715,1403,93983,4,Full-Time,Active
1143,Ivy,Davis,Male,16-09-1983,41,17-12-2023,1,Sales,Executive,Angela,New York,Australia,9247,1268,112232,5,Full-Time,Inactive
1144,Grace,Smith,Male,23-01-1999,26,30-07-2017,7,HR,Analyst,Angela,Sydney,Canada,5671,3173,71225,2,Contract,Active
1145,Alice,Clark,Female,12-06-1982,43,17-04-2023,2,IT,Executive,Angela,Toronto,Canada,8455,3281,104741,1,Part-Time,Active
1146,Alice,Johnson,Male,13-06-1996,29,30-03-2023,2,Finance,Coordinator,John,Sydney,UK,8554,4668,107316,3,Part-Time,Active
1147,Ivy,Khan,Female,15-10-1989,35,13-07-2005,19,Sales,Manager,Priya,Bangalore,UK,6084,3908,76916,5,Full-Time,Active
1148,Ivy,Clark,Female,09-06-1983,42,15-08-2006,18,Sales,Coordinator,Angela,Toronto,India,7670,4570,96610,1,Full-Time,Active
1149,Diana,Khan,Female,05-11-1991,33,26-10-2011,13,Finance,Executive,John,London,India,8509,1200,103308,1,Contract,Active
1150,Ivy,Lee,Female,13-04-1982,43,01-02-2010,15,HR,Coordinator,Angela,Bangalore,India,9340,3663,115743,5,Full-Time,Active
1151,Charlie,Smith,Female,20-05-1973,52,12-02-2019,6,IT,Analyst,Angela,Bangalore,USA,5943,2877,74193,3,Part-Time,Active
1152,Grace,Davis,Female,11-11-1999,25,12-07-2022,2,IT,Executive,Priya,Bangalore,Australia,7528,1222,91558,5,Part-Time,Active
1153,Frank,Brown,Female,08-02-1997,28,23-04-2005,20,IT,Coordinator,Angela,New York,Canada,9290,2068,113548,4,Full-Time,Active
1154,Hank,Lewis,Male,17-12-1990,34,10-08-2008,16,HR,Coordinator,John,New York,Australia,9258,2694,113790,1,Full-Time,Active
1155,Ivy,Khan,Male,19-02-1973,52,04-10-2009,15,HR,Manager,John,London,Canada,5102,2477,63701,4,Contract,Active
1156,Eve,Brown,Female,26-04-1990,35,24-08-2010,14,Sales,Manager,Robert,New York,USA,5212,2704,65248,4,Contract,Inactive
1157,Alice,Brown,Female,15-01-1974,51,18-08-2009,15,HR,Coordinator,Tom,Bangalore,Canada,4109,1557,50865,4,Full-Time,Active
1158,Charlie,Khan,Female,31-12-1977,47,17-01-2015,10,Marketing,Analyst,Angela,Sydney,India,9413,3305,116261,3,Contract,Inactive
1159,Jack,Brown,Male,05-07-1997,27,16-03-2022,3,Finance,Analyst,Angela,London,Australia,8505,3683,105743,1,Part-Time,Active
1160,Hank,Lewis,Female,20-07-1985,39,26-10-2008,16,HR,Analyst,John,London,Australia,5151,1902,63714,4,Part-Time,Active
1161,Frank,Wilson,Male,27-01-1991,34,09-03-2020,5,IT,Coordinator,Angela,Bangalore,Australia,7044,2163,86691,4,Contract,Active
1162,Hank,Lee,Male,29-10-1984,40,04-09-2013,11,HR,Manager,John,Toronto,USA,5047,3367,63931,4,Part-Time,Active
1163,Ivy,Khan,Female,10-07-1983,41,24-09-2023,1,Sales,Coordinator,Robert,New York,Australia,8309,3090,102798,2,Part-Time,Inactive
1164,Diana,Lewis,Male,24-05-1974,51,30-09-2014,10,Finance,Manager,Angela,Toronto,UK,9969,2074,121702,1,Part-Time,Active
1165,Alice,Smith,Female,27-10-1983,41,15-12-2019,5,Finance,Analyst,Robert,Bangalore,India,8680,1850,106010,4,Part-Time,Inactive
1166,Alice,Khan,Female,09-12-1993,31,15-02-2011,14,IT,Manager,Robert,Toronto,India,9852,2390,120614,3,Contract,Active
1167,Jack,Lewis,Female,01-12-1997,27,17-01-2022,3,Finance,Coordinator,Tom,Bangalore,Canada,8235,4859,103679,2,Part-Time,Inactive
1168,Diana,Lewis,Male,20-05-1992,33,20-08-2015,9,Marketing,Coordinator,John,New York,USA,6704,4468,84916,2,Full-Time,Inactive
1169,Grace,Clark,Female,11-11-1990,34,26-11-2013,11,Finance,Coordinator,Robert,New York,Canada,4728,3990,60726,5,Contract,Active
1170,Bob,Wilson,Male,01-10-1986,38,02-11-2018,6,IT,Manager,John,London,Canada,6522,4028,82292,3,Contract,Active
1171,Charlie,Khan,Female,17-09-1991,33,08-10-2015,9,Finance,Analyst,Tom,Toronto,India,9900,3276,122076,5,Part-Time,Inactive
1172,Alice,Davis,Female,11-01-1975,50,03-04-2013,12,HR,Coordinator,John,Toronto,UK,9924,2433,121521,2,Full-Time,Active
1173,Eve,Lewis,Female,02-03-1986,39,19-07-2014,10,Sales,Coordinator,Tom,Toronto,USA,5289,2248,65716,5,Part-Time,Active
1174,Alice,Lee,Female,25-09-1987,37,03-02-2008,17,HR,Manager,Angela,Toronto,USA,6421,2849,79901,5,Part-Time,Active
1175,Hank,Clark,Female,30-11-1989,35,12-11-2022,2,Marketing,Analyst,Tom,Sydney,USA,7532,2007,92391,5,Contract,Active
1176,Alice,Lewis,Male,05-07-1995,29,19-10-2023,1,Marketing,Manager,Tom,London,UK,6950,1405,84805,4,Part-Time,Active
1177,Alice,Khan,Female,14-10-1973,51,21-09-2022,2,Sales,Executive,Tom,London,USA,5147,4386,66150,2,Full-Time,Active
1178,Bob,Johnson,Female,11-04-1997,28,07-01-2022,3,Sales,Executive,Priya,Sydney,Australia,5635,2226,69846,5,Contract,Active
1179,Bob,Lewis,Female,24-04-1979,46,24-08-2009,15,Sales,Coordinator,Robert,Toronto,UK,6421,3958,81010,3,Full-Time,Active
1180,Frank,Williams,Male,22-01-1992,33,13-05-2005,20,Sales,Manager,John,Sydney,Canada,9095,3732,112872,4,Part-Time,Active
1181,Grace,Johnson,Female,10-07-1992,32,10-10-2017,7,Finance,Manager,John,Toronto,Australia,7091,2326,87418,2,Part-Time,Active
1182,Eve,Lewis,Female,14-01-1976,49,31-01-2023,2,HR,Coordinator,Priya,Sydney,Canada,6038,4665,77121,2,Full-Time,Active
1183,Alice,Brown,Female,27-02-1979,46,22-07-2016,8,Marketing,Executive,Angela,London,USA,5459,2054,67562,1,Full-Time,Active
1184,Alice,Lewis,Female,03-04-1978,47,18-01-2019,6,Finance,Analyst,Robert,Sydney,UK,5446,1878,67230,2,Part-Time,Active
1185,Charlie,Smith,Male,07-09-1991,33,10-09-2014,10,Sales,Analyst,Robert,Bangalore,Australia,8474,3401,105089,5,Part-Time,Inactive
1186,Bob,Brown,Female,21-04-1997,28,08-03-2013,12,IT,Executive,Robert,Toronto,UK,9908,2436,121332,1,Part-Time,Inactive
1187,Eve,Khan,Male,17-06-1974,51,23-11-2021,3,IT,Coordinator,Robert,Sydney,UK,8287,2064,101508,2,Contract,Active
1188,Jack,Lee,Male,09-07-1988,36,12-10-2016,8,HR,Coordinator,Priya,Toronto,UK,8624,1208,104696,4,Full-Time,Active
1189,Frank,Johnson,Male,26-01-1996,29,07-01-2014,11,Marketing,Analyst,John,New York,Canada,9829,1273,119221,2,Contract,Active
1190,Grace,Davis,Male,24-09-1985,39,08-11-2005,19,Marketing,Analyst,Angela,Toronto,UK,9741,1095,117987,4,Full-Time,Active
1191,Diana,Clark,Female,12-09-1996,28,27-08-2011,13,HR,Executive,Angela,Sydney,USA,4536,1009,55441,2,Part-Time,Active
